# Task,   Job,     Period,   Response, DL Miss?,   Lateness,  Tardiness, Forced?,       ACET,  Preemptions,   Migrations
# task NAME=base_task PID=8928 COST=10000000 PERIOD=21000000 CPU=0
  8928,    86,   21000000,   13964056,        0,   -7035944,          0,       0,    6569560,            8,            0
  8928,    87,   21000000,    7299183,        0,  -13700817,          0,       0,    5279521,            8,            0
  8928,    88,   21000000,    8161423,        0,  -12838577,          0,       0,    6244722,            8,            0
  8928,    89,   21000000,    9345203,        0,  -11654797,          0,       0,    6328498,            8,            0
  8928,    90,   21000000,   11297825,        0,   -9702175,          0,       0,    5987988,            8,            0
  8928,    91,   21000000,   11120035,        0,   -9879965,          0,       0,    8014154,            8,            0
  8928,    94,   21000000,    7230872,        0,  -13769128,          0,       0,    5862404,            8,            0
  8928,    95,   21000000,    9251551,        0,  -11748449,          0,       0,    7603397,            8,            0
  8928,    96,   21000000,    7865707,        0,  -13134293,          0,       0,    5482212,            8,            0
  8928,    97,   21000000,    6822283,        0,  -14177717,          0,       0,    5540967,            8,            0
  8928,    98,   21000000,    7534767,        0,  -13465233,          0,       0,    5374824,            8,            0
  8928,    99,   21000000,    7914361,        0,  -13085639,          0,       0,    5627146,            8,            0
  8928,   100,   21000000,    8072876,        0,  -12927124,          0,       0,    6082664,            8,            0
  8928,   101,   21000000,    5478411,        0,  -15521589,          0,       0,    4963625,            8,            0
  8928,   104,   21000000,    7261012,        0,  -13738988,          0,       0,    5739819,            8,            0
  8928,   105,   21000000,    7155693,        0,  -13844307,          0,       0,    5259474,            8,            0
  8928,   106,   21000000,    7122435,        0,  -13877565,          0,       0,    5541756,            8,            0
  8928,   107,   21000000,    8784505,        0,  -12215495,          0,       0,    6313992,            8,            0
  8928,   108,   21000000,    7120698,        0,  -13879302,          0,       0,    5378880,            8,            0
  8928,   109,   21000000,    7700620,        0,  -13299380,          0,       0,    5806537,            8,            0
  8928,   110,   21000000,    9919193,        0,  -11080807,          0,       0,    6267113,            8,            0
  8928,   111,   21000000,   10132527,        0,  -10867473,          0,       0,    7092345,            8,            0
  8928,   114,   21000000,   10944013,        0,  -10055987,          0,       0,    5834889,            8,            0
  8928,   115,   21000000,   10265576,        0,  -10734424,          0,       0,    6027585,            8,            0
  8928,   116,   21000000,   10211390,        0,  -10788610,          0,       0,    6192546,            8,            0
  8928,   117,   21000000,    7566398,        0,  -13433602,          0,       0,    5941811,            8,            0
  8928,   118,   21000000,    9419067,        0,  -11580933,          0,       0,    6423129,            8,            0
  8928,   119,   21000000,   10334080,        0,  -10665920,          0,       0,    6368550,            8,            0
  8928,   120,   21000000,    8806162,        0,  -12193838,          0,       0,    5442454,            8,            0
  8928,   121,   21000000,    8682814,        0,  -12317186,          0,       0,    6402447,            8,            0
  8928,   122,   21000000,    9523753,        0,  -11476247,          0,       0,    6451601,            8,            0
  8928,   123,   21000000,   10984298,        0,  -10015702,          0,       0,    5409793,            8,            0
  8928,   124,   21000000,    7106873,        0,  -13893127,          0,       0,    5503303,            8,            0
  8928,   125,   21000000,    7329216,        0,  -13670784,          0,       0,    5491686,            8,            0
  8928,   126,   21000000,    8959330,        0,  -12040670,          0,       0,    6584919,            8,            0
  8928,   127,   21000000,    7430849,        0,  -13569151,          0,       0,    5632790,            8,            0
  8928,   128,   21000000,    8621516,        0,  -12378484,          0,       0,    5224930,            8,            0
  8928,   129,   21000000,    7628051,        0,  -13371949,          0,       0,    5902516,            8,            0
  8928,   130,   21000000,   11104707,        0,   -9895293,          0,       0,    6776544,            8,            0
  8928,   133,   21000000,    7825703,        0,  -13174297,          0,       0,    5953554,            8,            0
  8928,   134,   21000000,   10313978,        0,  -10686022,          0,       0,    6933699,            8,            0
  8928,   135,   21000000,    8403586,        0,  -12596414,          0,       0,    6438326,            8,            0
  8928,   136,   21000000,    7713659,        0,  -13286341,          0,       0,    5905997,            8,            0
  8928,   137,   21000000,    6778932,        0,  -14221068,          0,       0,    4664741,            8,            0
  8928,   138,   21000000,   11093664,        0,   -9906336,          0,       0,    6074177,            8,            0
  8928,   139,   21000000,   11409306,        0,   -9590694,          0,       0,    6458271,            8,            0
  8928,   140,   21000000,    8275670,        0,  -12724330,          0,       0,    6431484,            8,            0
  8928,   143,   21000000,    9463938,        0,  -11536062,          0,       0,    7460840,            8,            0
  8928,   144,   21000000,    7679077,        0,  -13320923,          0,       0,    5907572,            8,            0
  8928,   145,   21000000,   11140948,        0,   -9859052,          0,       0,    6736357,            8,            0
  8928,   146,   21000000,    8544473,        0,  -12455527,          0,       0,    5563432,            8,            0
  8928,   147,   21000000,    7636819,        0,  -13363181,          0,       0,    5643608,            8,            0
  8928,   148,   21000000,   11209022,        0,   -9790978,          0,       0,    5438503,            8,            0
  8928,   149,   21000000,   10005672,        0,  -10994328,          0,       0,    7497481,            8,            0
  8928,   150,   21000000,    9795780,        0,  -11204220,          0,       0,    5985276,            8,            0
  8928,   153,   21000000,    8419062,        0,  -12580938,          0,       0,    6501565,            8,            0
  8928,   154,   21000000,    8261889,        0,  -12738111,          0,       0,    6138117,            8,            0
  8928,   155,   21000000,    8803948,        0,  -12196052,          0,       0,    5240162,            8,            0
  8928,   156,   21000000,    6297525,        0,  -14702475,          0,       0,    5085689,            8,            0
  8928,   157,   21000000,   11139307,        0,   -9860693,          0,       0,    5934631,            8,            0
  8928,   158,   21000000,    7865334,        0,  -13134666,          0,       0,    6176376,            8,            0
  8928,   159,   21000000,    8286365,        0,  -12713635,          0,       0,    5333815,            8,            0
  8928,   160,   21000000,    7141123,        0,  -13858877,          0,       0,    5723377,            8,            0
  8928,   161,   21000000,   10194890,        0,  -10805110,          0,       0,    7524296,            8,            0
  8928,   162,   21000000,    5870220,        0,  -15129780,          0,       0,    4952547,            8,            0
  8928,   163,   21000000,    7557725,        0,  -13442275,          0,       0,    5925679,            8,            0
  8928,   164,   21000000,    7445593,        0,  -13554407,          0,       0,    5876728,            8,            0
  8928,   165,   21000000,   10982471,        0,  -10017529,          0,       0,    9171732,            8,            0
  8928,   166,   21000000,    8861463,        0,  -12138537,          0,       0,    6245612,            8,            0
  8928,   167,   21000000,   12943747,        0,   -8056253,          0,       0,    9477912,            8,            0
  8928,   168,   21000000,   12245237,        0,   -8754763,          0,       0,    6594340,            8,            0
  8928,   169,   21000000,    9266118,        0,  -11733882,          0,       0,    7463748,            8,            0
  8928,   172,   21000000,   10007991,        0,  -10992009,          0,       0,    6069889,            8,            0
